tenure,monthly_charges,contract_type,payment_method,churn
52,103,0,1,1
34,45,0,1,0
6,101,1,1,0
22,105,1,1,1
11,53,0,0,1
48,57,0,1,0
16,37,0,0,0
33,65,0,0,0
9,119,1,0,0
60,37,0,0,0
59,87,0,1,1
6,89,0,0,0
16,79,0,0,0
29,57,1,1,0
3,70,1,1,0
20,93,0,1,1
60,56,0,0,0
59,92,0,1,0
36,46,1,1,0
19,102,1,0,1
26,62,0,1,0
3,113,1,1,1
19,106,1,1,0
20,58,0,1,1
32,42,1,0,0
7,75,0,1,1
52,64,0,1,1
41,35,0,0,0
33,111,0,1,0
40,98,0,0,1
39,76,1,1,0
18,54,0,0,1
40,95,1,0,0
1,39,0,0,1
11,85,0,0,1
28,59,0,1,0
57,34,0,0,0
25,62,1,1,0
50,94,0,0,0
23,47,0,0,0
31,78,0,0,1
30,40,1,1,0
42,114,1,0,0
35,55,1,1,0
7,92,0,1,1
60,118,0,1,0
16,115,0,1,1
26,88,0,1,1
48,56,0,1,0
57,78,0,1,1
52,106,0,1,1
60,62,0,1,0
49,30,1,0,0
2,50,0,0,1
1,84,0,0,1
48,35,1,0,0
12,110,0,0,1
5,98,1,1,1
37,34,0,1,0
32,32,0,1,0
59,82,1,1,0
55,52,1,1,0
9,82,1,1,0
41,66,0,1,0
35,103,0,0,0
19,103,0,0,1
48,112,0,0,0
16,46,1,0,0
3,114,0,1,1
20,107,1,1,1
24,102,0,1,1
54,30,0,0,0
56,80,0,1,0
33,74,1,1,0
24,106,1,1,0
52,33,1,0,0
11,91,1,1,1
49,94,1,0,0
8,61,1,0,1
36,63,0,0,1
38,101,0,0,1
40,68,0,1,0
20,55,1,0,0
35,63,1,0,0
48,83,0,1,0
25,32,1,1,0
35,79,1,0,0
25,41,0,1,1
29,94,0,0,1
18,83,1,0,0
46,34,0,0,1
18,86,1,0,0
2,46,0,1,1
54,76,1,0,0
35,52,1,1,0
16,108,1,1,1
41,114,0,1,1
36,43,1,1,0
33,95,1,0,0
4,104,0,1,1
33,80,1,0,0
14,67,0,1,1
21,93,0,1,0
48,67,0,0,0
20,79,0,0,1
56,111,0,0,1
8,59,1,1,0
7,108,0,1,1
3,120,1,0,1
17,80,0,0,1
33,92,0,0,0
48,81,0,0,0
12,67,1,1,0
59,117,0,0,0
51,108,1,0,0
22,59,1,0,0
55,80,1,0,0
22,110,0,1,1
46,34,0,0,0
30,58,1,1,0
38,33,0,0,0
38,39,1,0,0
45,85,0,1,0
51,46,1,0,0
54,103,1,1,0
8,46,1,1,0
27,113,0,0,0
27,117,1,1,0
34,98,0,1,1
21,63,0,1,0
30,35,1,1,1
33,82,1,1,0
28,95,1,1,0
47,106,1,1,1
33,72,0,1,1
5,104,0,0,1
60,52,1,0,0
48,84,0,1,1
19,109,0,0,1
4,104,0,1,1
35,45,0,1,0
49,37,0,0,0
17,33,0,1,0
44,33,0,1,0
28,85,0,1,0
30,54,1,1,0
29,96,0,0,1
46,96,0,1,0
53,56,1,1,0
6,61,0,1,0
35,79,1,0,0
60,90,1,1,0
41,80,0,0,0
37,48,0,0,0
24,50,1,1,0
29,34,1,1,0
49,111,0,0,1
46,71,1,1,0
53,90,0,0,1
31,51,1,0,0
35,50,0,1,0
60,99,1,1,0
33,30,1,0,0
52,34,1,0,0
21,41,0,0,1
32,119,0,0,1
23,75,0,1,1
33,63,0,1,0
3,78,0,1,1
18,107,1,1,0
25,119,0,1,0
42,74,0,0,0
31,56,1,1,0
54,102,1,1,0
58,55,1,1,0
3,76,1,1,1
40,115,0,1,0
46,85,0,0,0
24,92,1,0,0
50,77,1,0,0
32,90,0,1,1
47,110,1,0,1
22,55,0,0,0
23,65,0,1,0
2,30,0,1,1
27,37,0,1,0
42,81,0,0,0
2,108,0,0,1
26,76,1,1,1
17,85,0,1,1
40,115,0,0,1
33,43,1,0,0
9,119,1,1,0
43,57,1,1,0
54,116,1,0,0
48,107,1,1,0
39,117,0,0,0
29,31,0,0,1
42,55,0,0,0
55,43,0,0,0
26,88,0,1,0
35,85,1,1,0
50,36,0,0,0
25,32,0,0,1
24,52,0,0,0
13,47,1,0,0
60,67,0,0,0
